"","notification_date","covid_case"
"369","2021-04-17",4
"370","2021-04-18",7
"371","2021-04-19",4
"372","2021-04-20",3
"373","2021-04-21",5
"374","2021-04-22",2
"375","2021-04-24",4
"376","2021-04-25",3
"377","2021-04-26",3
"378","2021-04-27",2
"379","2021-04-28",9
"380","2021-04-29",1
"381","2021-04-30",2
"382","2021-05-01",2
"383","2021-05-02",5
"384","2021-05-03",7
"385","2021-05-04",4
"386","2021-05-05",8
"387","2021-05-06",2
"388","2021-05-07",4
"389","2021-05-08",4
"390","2021-05-09",5
"391","2021-05-10",2
"392","2021-05-11",1
"393","2021-05-12",5
"394","2021-05-13",2
"395","2021-05-14",1
"396","2021-05-15",2
"397","2021-05-16",2
"398","2021-05-17",3
"399","2021-05-18",1
"400","2021-05-19",1
"401","2021-05-21",3
"402","2021-05-23",1
"403","2021-05-25",1
"404","2021-05-27",3
"405","2021-05-28",1
"406","2021-05-29",1
"407","2021-06-02",2
"408","2021-06-04",2
"409","2021-06-05",1
"410","2021-06-06",4
"411","2021-06-07",6
"412","2021-06-08",1
"413","2021-06-09",2
"414","2021-06-10",1
"415","2021-06-13",2
"416","2021-06-14",3
"417","2021-06-15",1
"418","2021-06-16",3
"419","2021-06-17",1
"420","2021-06-18",5
"421","2021-06-19",4
"422","2021-06-20",2
"423","2021-06-21",5
"424","2021-06-22",17
"425","2021-06-23",12
"426","2021-06-24",22
"427","2021-06-25",28
"428","2021-06-26",25
"429","2021-06-27",23
"430","2021-06-28",15
"431","2021-06-29",27
"432","2021-06-30",30
"433","2021-07-01",30
"434","2021-07-02",37
"435","2021-07-03",22
"436","2021-07-04",31
"437","2021-07-05",16
"438","2021-07-06",34
"439","2021-07-07",37
"440","2021-07-08",45
"441","2021-07-09",50
"442","2021-07-10",105
"443","2021-07-11",121
"444","2021-07-12",73
"445","2021-07-13",90
"446","2021-07-14",75
"447","2021-07-15",102
"448","2021-07-16",109
"449","2021-07-17",98
"450","2021-07-18",110
"451","2021-07-19",65
"452","2021-07-20",106
"453","2021-07-21",143
"454","2021-07-22",142
"455","2021-07-23",150
"456","2021-07-24",139
"457","2021-07-25",170
"458","2021-07-26",142
"459","2021-07-27",158
"460","2021-07-28",252
"461","2021-07-29",182
"462","2021-07-30",197
"463","2021-07-31",239
"464","2021-08-01",193
"465","2021-08-02",208
"466","2021-08-03",235
"467","2021-08-04",244
"468","2021-08-05",319
"469","2021-08-06",299
"470","2021-08-07",248
"471","2021-08-08",260
"472","2021-08-09",364
"473","2021-08-10",338
"474","2021-08-11",369
"475","2021-08-12",399
"476","2021-08-13",452
"477","2021-08-14",324
"478","2021-08-15",500
"479","2021-08-16",577
"480","2021-08-17",546
"481","2021-08-18",635
"482","2021-08-19",758
"483","2021-08-20",766
"484","2021-08-21",813
"485","2021-08-22",739
"486","2021-08-23",825
"487","2021-08-24",905
"488","2021-08-25",956
"489","2021-08-26",942
"490","2021-08-27",1124
"491","2021-08-28",1109
"492","2021-08-29",1194
"493","2021-08-30",1078
"494","2021-08-31",1206
"495","2021-09-01",1327
"496","2021-09-02",1364
"497","2021-09-03",1517
"498","2021-09-04",1207
"499","2021-09-05",1177
"500","2021-09-06",1270
"501","2021-09-07",1399
"502","2021-09-08",1425
"503","2021-09-09",1517
"504","2021-09-10",1447
"505","2021-09-11",1249
"506","2021-09-12",1154
"507","2021-09-13",1241
"508","2021-09-14",1191
"509","2021-09-15",1318
"510","2021-09-16",1252
"511","2021-09-17",1282
"512","2021-09-18",1073
"513","2021-09-19",903
"514","2021-09-20",1041
"515","2021-09-21",1119
"516","2021-09-22",1047
"517","2021-09-23",988
"518","2021-09-24",1034
"519","2021-09-25",910
"520","2021-09-26",801
"521","2021-09-27",830
"522","2021-09-28",900
"523","2021-09-29",959
"524","2021-09-30",841
"525","2021-10-01",827
"526","2021-10-02",679
"527","2021-10-03",627
"528","2021-10-04",591
"529","2021-10-05",539
"530","2021-10-06",630
"531","2021-10-07",667
"532","2021-10-08",514
"533","2021-10-09",499
"534","2021-10-10",442
"535","2021-10-11",370
"536","2021-10-12",432
"537","2021-10-13",400
"538","2021-10-14",408
"539","2021-10-15",328
"540","2021-10-16",297
"541","2021-10-17",281
"542","2021-10-18",237
"543","2021-10-19",310
"544","2021-10-20",351
"545","2021-10-21",358
"546","2021-10-22",340
"547","2021-10-23",297
"548","2021-10-24",262
"549","2021-10-25",276
"550","2021-10-26",265
"551","2021-10-27",303
"552","2021-10-28",267
"553","2021-10-29",208
"554","2021-10-30",176
"555","2021-10-31",141
"556","2021-11-01",142
"557","2021-11-02",240
"558","2021-11-03",292
"559","2021-11-04",211
"560","2021-11-05",266
"561","2021-11-06",246
"562","2021-11-07",188
"563","2021-11-08",205
"564","2021-11-09",235
"565","2021-11-10",261
"566","2021-11-11",256
"567","2021-11-12",256
"568","2021-11-13",191
"569","2021-11-14",182
"570","2021-11-15",197
"571","2021-11-16",235
"572","2021-11-17",260
"573","2021-11-18",202
"574","2021-11-19",187
"575","2021-11-20",172
"576","2021-11-21",172
"577","2021-11-22",167
"578","2021-11-23",260
"579","2021-11-24",269
"580","2021-11-25",258
"581","2021-11-26",232
"582","2021-11-27",185
"583","2021-11-28",144
"584","2021-11-29",171
"585","2021-11-30",248
"586","2021-12-01",288
"587","2021-12-02",350
"588","2021-12-03",280
"589","2021-12-04",287
"590","2021-12-05",218
"591","2021-12-06",233
"592","2021-12-07",407
"593","2021-12-08",417
"594","2021-12-09",513
"595","2021-12-10",525
"596","2021-12-11",515
"597","2021-12-12",536
"598","2021-12-13",836
"599","2021-12-14",1394
"600","2021-12-15",2248
"601","2021-12-16",1710
"602","2021-12-17",2739
"603","2021-12-18",2478
"604","2021-12-19",2350
"605","2021-12-20",3265
"606","2021-12-21",3910
"607","2021-12-22",5962
"608","2021-12-23",5554
"609","2021-12-24",6435
"610","2021-12-25",6684
"611","2021-12-26",5878
"612","2021-12-27",6767
"613","2021-12-28",10546
"614","2021-12-29",15963
"615","2021-12-30",22229
"616","2021-12-31",18503
"617","2022-01-01",18936
"618","2022-01-02",21126
"619","2022-01-03",26376
"620","2022-01-04",29036
"621","2022-01-05",39433
"622","2022-01-06",40756
"623","2022-01-07",37680
"624","2022-01-08",28179
"625","2022-01-09",19494
"626","2022-01-10",32070
"627","2022-01-11",28138
"628","2022-01-12",29411
"629","2022-01-13",22306
"630","2022-01-14",26647
"631","2022-01-15",19618
"632","2022-01-16",17510
"633","2022-01-17",15885
"634","2022-01-18",19005
"635","2022-01-19",17673
"636","2022-01-20",21539
"637","2022-01-21",21721
"638","2022-01-22",16375
"639","2022-01-23",14966
"640","2022-01-24",20726
"641","2022-01-25",18879
"642","2022-01-26",16384
"643","2022-01-27",13385
"644","2022-01-28",11934
"645","2022-01-29",14022
"646","2022-01-30",11772
"647","2022-01-31",13188
"648","2022-02-01",13116
"649","2022-02-02",11746
"650","2022-02-03",10009
"651","2022-02-04",8712
"652","2022-02-05",7020
"653","2022-02-06",7299
"654","2022-02-07",10125
"655","2022-02-08",9760
"656","2022-02-09",9974
"657","2022-02-10",8447
"658","2022-02-11",7977
"659","2022-02-12",6615
"660","2022-02-13",5851
"661","2022-02-14",10247
"662","2022-02-15",9458
"663","2022-02-16",9001
"664","2022-02-17",8082
"665","2022-02-18",7130
"666","2022-02-19",5179
"667","2022-02-20",6660
"668","2022-02-21",8197
"669","2022-02-22",8590
"670","2022-02-23",8017
"671","2022-02-24",7385
"672","2022-02-25",6386
"673","2022-02-26",5797
"674","2022-02-27",6390
"675","2022-02-28",9927
"676","2022-03-01",10553
"677","2022-03-02",10747
"678","2022-03-03",9865
"679","2022-03-04",9721
"680","2022-03-05",8973
"681","2022-03-06",9931
"682","2022-03-07",13234
"683","2022-03-08",14494
"684","2022-03-09",15512
"685","2022-03-10",13910
"686","2022-03-11",13991
"687","2022-03-12",11965
"688","2022-03-13",6152
"689","2022-03-14",24743
"690","2022-03-15",18663
"691","2022-03-16",20825
"692","2022-03-17",19079
"693","2022-03-18",18980
"694","2022-03-19",16350
"695","2022-03-20",15636
"696","2022-03-21",21768
"697","2022-03-22",24399
"698","2022-03-23",25445
"699","2022-03-24",22461
"700","2022-03-25",19265
"701","2022-03-26",16415
"702","2022-03-27",17065
"703","2022-03-28",22931
"704","2022-03-29",24173
"705","2022-03-30",24636
"706","2022-03-31",22268
"707","2022-04-01",19102
"708","2022-04-02",15535
"709","2022-04-03",15928
"710","2022-04-04",12657
